"","morphotype","isolate","tree_sp","time","rep","pixels_per_cm","group","ppc_squared","threshold","leaf1","leaf2","area_pixels","area_cm","description","notes","threshold.1","leaf1.1","leaf2.1","area_pixels.1","area_cm.1","description.1","notes.1"
"55","SNPV","COL","DO",24,12,85.9,"control",7378.81,"143",1969,0,1969,0.266845195905573,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"56","SNPV","COL","DO",24,12,85.9,"treatment",7378.81,"141",1424,1431,2855,0.386918757902697,"change","",NA,NA,NA,NA,NA,NA,NA
"57","SNPV","COL","DO",24,13,86,"control",7396,"143",1605,2301,3906,0.528123309897242,"no change","",NA,NA,NA,NA,NA,NA,NA
"58","SNPV","COL","DO",24,13,86,"treatment",7396,"134",751,1827,2578,0.348566792861006,"change","",NA,NA,NA,NA,NA,NA,NA
"59","SNPV","COL","DO",24,14,86,"control",7396,"126",1731,1567,3298,0.445916711736074,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"60","SNPV","COL","DO",24,14,86,"treatment",7396,"121",1785,966,2751,0.371957815035154,"change","",NA,NA,NA,NA,NA,NA,NA
"61","SNPV","COL","DO",24,15,86,"control",7396,"123",1530,2128,3658,0.494591671173607,"no change","removed shadow; filled flash",NA,NA,NA,NA,NA,NA,NA
"62","SNPV","COL","DO",24,15,86,"treatment",7396,"120",1788,1413,3201,0.432801514332071,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"63","SNPV","COL","DO",24,16,86.0000581395152,"control",7396.01,"134",1791,2061,3852,0.520821361788316,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"64","SNPV","COL","DO",24,16,86.0000581395152,"treatment",7396.01,"140",924,2165,3089,0.417657628910724,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"65","SNPV","COL","DO",48,1,85.8037295226729,"control",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"66","SNPV","COL","DO",48,1,85.8037295226729,"treatment",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"67","SNPV","COL","DO",48,2,85.7037338743184,"control",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"68","SNPV","COL","DO",48,2,85.7037338743184,"treatment",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"69","SNPV","COL","DO",48,3,85.8037295226729,"control",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"70","SNPV","COL","DO",48,3,85.8037295226729,"treatment",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"71","SNPV","COL","DO",48,4,85.7037338743184,"control",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"72","SNPV","COL","DO",48,4,85.7037338743184,"treatment",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"73","SNPV","COL","DO",48,5,85.7037338743184,"control",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"74","SNPV","COL","DO",48,5,85.7037338743184,"treatment",7345.13,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"75","SNPV","COL","DO",48,6,85.8037295226729,"control",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"76","SNPV","COL","DO",48,6,85.8037295226729,"treatment",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"77","SNPV","COL","DO",48,7,85.8037295226729,"control",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"78","SNPV","COL","DO",48,7,85.8037295226729,"treatment",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"79","SNPV","COL","DO",48,8,85.8037295226729,"control",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"80","SNPV","COL","DO",48,8,85.8037295226729,"treatment",7362.28,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"81","SNPV","COL","DO",48,9,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"82","SNPV","COL","DO",48,9,85.8047201498845,"treatment",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"83","SNPV","COL","DO",48,10,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"84","SNPV","COL","DO",48,10,85.8047201498845,"treatment",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"85","SNPV","COL","DO",48,11,85.6131415146063,"control",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"86","SNPV","COL","DO",48,11,85.6131415146063,"treatment",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"87","SNPV","COL","DO",48,12,85.6131415146063,"control",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"88","SNPV","COL","DO",48,12,85.6131415146063,"treatment",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"89","SNPV","COL","DO",48,13,85.6131415146063,"control",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"90","SNPV","COL","DO",48,13,85.6131415146063,"treatment",7329.61,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"91","SNPV","COL","DO",48,14,85.6149519651795,"control",7329.92,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"92","SNPV","COL","DO",48,14,85.6149519651795,"treatment",7329.92,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"93","SNPV","COL","DO",48,15,85.714934521354,"control",7347.05,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"94","SNPV","COL","DO",48,15,85.714934521354,"treatment",7347.05,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"95","SNPV","COL","DO",48,16,85.7189010662176,"control",7347.73,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"96","SNPV","COL","DO",48,16,85.7189010662176,"treatment",7347.73,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"97","SNPV","COL","GR",0,1,67.4006676524795,"control",4542.85,"144",1494,1248,2742,0.60358585469474,"init","",NA,NA,NA,NA,NA,NA,NA
"98","SNPV","COL","GR",0,1,67.4006676524795,"treatment",4542.85,"142",1915,2148,4063,0.89437247542842,"init","filled flash",NA,NA,NA,NA,NA,NA,NA
"99","SNPV","COL","GR",0,2,67.3026745382381,"control",4529.65,"136",1697,1587,3284,0.725000827878534,"init","filled flash; removed shadow",NA,NA,NA,NA,NA,NA,NA
"100","SNPV","COL","GR",0,2,67.3026745382381,"treatment",4529.65,"138",1573,1755,3328,0.734714602673496,"init","removed shadow",NA,NA,NA,NA,NA,NA,NA
